Unnamed: 0,Player,height,weight,collage,born,birth_city,birth_state,height_m,bmi
724,George Lehmann,183.0,81.0,Campbell University,1942.0,Riverside,New Jersey,1.83,24.187046492878256
725,Bobby Lewis,190.0,79.0,University of North Carolina,1945.0,,,1.9,21.883656509695292
726,Paul Long,188.0,81.0,Wake Forest University,1944.0,Louisville,Kentucky,1.88,22.917609778180175
727,Plummer Lott,196.0,95.0,Seattle University,1945.0,,,1.96,24.729279466888798
728,Ed Manning,201.0,95.0,Jackson State University,1944.0,Summit,Mississippi,2.01,23.514269448776027
729,Stan McKenzie,196.0,88.0,New York University,1944.0,Miami,Florida,1.96,22.907122032486466
730,Jay Miller,196.0,92.0,University of Notre Dame,1943.0,St. Louis,Missouri,1.96,23.94835485214494
731,Earl Monroe*,190.0,83.0,Winston-Salem State University,1944.0,Philadelphia,Pennsylvania,1.9,22.991689750692522
732,George Patterson,203.0,104.0,University of Toledo,1939.0,,,2.03,25.237205464825653
733,Jim Reid,198.0,95.0,Winston-Salem State University,1945.0,,,1.98,24.232221201918172
734,Pat Riley*,193.0,92.0,University of Kentucky,1945.0,Rome,New York,1.93,24.69864962817794
735,Bob Rule,206.0,99.0,Colorado State University,1944.0,Riverside,California,2.06,23.329248751060423
736,Craig Spitzer,213.0,102.0,Tulane University,1945.0,,,2.13,22.482311710639426
737,Al Tucker,203.0,86.0,Oklahoma Baptist University,1943.0,Dayton,Ohio,2.03,20.869227595913518
738,Bill Turner,201.0,99.0,University of Akron,1944.0,,,2.01,24.504343951882387
739,Jimmy Walker,190.0,88.0,Providence College,1944.0,Amherst,Virginia,1.9,24.37673130193906
740,Rick Weitzman,188.0,79.0,Northeastern University,1946.0,,,1.88,22.351742870076958
741,Roland West,193.0,80.0,University of Cincinnati,1944.0,,,1.93,21.47708663319821
742,John Wetzel,196.0,86.0,Virginia Polytechnic Institute and State University,1944.0,Waynesboro,Virginia,1.96,22.38650562265723
743,Ken Wilburn,198.0,88.0,Central State University,1944.0,River Rouge,Michigan,1.98,22.44668911335578
744,Art Williams,185.0,81.0,"California State Polytechnic University, Pomona",1939.0,Bonham,Texas,1.85,23.66691015339664
745,Tom Workman,201.0,98.0,Seattle University,1944.0,Seattle,Washington,2.01,24.256825326105798
746,Zaid Abdul-Aziz,206.0,106.0,Iowa State University,1946.0,Brooklyn,New York,2.06,24.97879159204449
747,Rick Adelman,185.0,79.0,Loyola Marymount University,1946.0,Lynwood,California,1.85,23.08254200146092
